psgc_code,name,city_municipality_psgc_code
137404001,Bagong Pag-asa,137404000
137404002,Bagumbayan,137404000
137404003,Bahay Toro,137404000
137404004,Balingasa,137404000
137404005,Bungad,137404000
137404006,Damayang Lagi,137404000
137404007,Kamuning,137404000
137404008,Kristong Hari,137404000
137404009,Laging Handa,137404000
137404010,Obrero,137404000
031405001,Anilao,031405000
031405002,Atlag,031405000
031405003,Babatnin,031405000
042105001,Burol,042105000
042105002,Habay,042105000
042105003,Palico,042105000
042105004,Salitran,042105000
042105005,Sampaloc,042105000
042105006,San Agustin I,042105000
042105007,Zapote,042105000
